tier,layout,profile,cameras,width_px,height_px,fps,compression,per_camera_mb_s,array_tb_hr,decision_band,rationale
Recommended,Recommended 24-Camera Two-Tier Ring,4K 17:9 24fps LQ,24,4096,2160,24,LQ,62,5.357,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Recommended,Recommended 24-Camera Two-Tier Ring,5K 17:9 24fps MQ,24,5120,2700,24,MQ,108,9.331,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Recommended,Recommended 24-Camera Two-Tier Ring,6K 17:9 24fps LQ,24,6144,3240,24,LQ,110,9.504,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Recommended,Recommended 24-Camera Two-Tier Ring,6K 17:9 24fps MQ,24,6144,3240,24,MQ,155,13.392,balanced_recommended,"Best balance of data rate, full-sensor spatial detail, and motion sampling for one performer."
Recommended,Recommended 24-Camera Two-Tier Ring,6K 17:9 48fps MQ,24,6144,3240,48,MQ,310,26.784,balanced_recommended,"Best balance of data rate, full-sensor spatial detail, and motion sampling for one performer."
Recommended,Recommended 24-Camera Two-Tier Ring,6K 17:9 60fps HQ,24,6144,3240,60,HQ,560,48.384,expensive_special_case,High data-rate profile (48.4 TB/hr est.); reserve for shots where motion or occlusion risk justifies it.
Recommended,Recommended 24-Camera Two-Tier Ring,6K 16:9 60fps HQ,24,6144,3456,60,HQ,560,48.384,expensive_special_case,High data-rate profile (48.4 TB/hr est.); reserve for shots where motion or occlusion risk justifies it.
