tier,layout,profile,cameras,width_px,height_px,fps,compression,per_camera_mb_s,array_tb_hr,decision_band,rationale
Lean,Lean 16-Camera Preflight,4K 17:9 24fps LQ,16,4096,2160,24,LQ,62,3.571,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Lean,Lean 16-Camera Preflight,5K 17:9 24fps MQ,16,5120,2700,24,MQ,108,6.221,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Lean,Lean 16-Camera Preflight,6K 17:9 24fps LQ,16,6144,3240,24,LQ,110,6.336,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Lean,Lean 16-Camera Preflight,6K 17:9 24fps MQ,16,6144,3240,24,MQ,155,8.928,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Lean,Lean 16-Camera Preflight,6K 17:9 48fps MQ,16,6144,3240,48,MQ,310,17.856,balanced_recommended,"Best balance of data rate, full-sensor spatial detail, and motion sampling for one performer."
Lean,Lean 16-Camera Preflight,6K 17:9 60fps HQ,16,6144,3240,60,HQ,560,32.256,expensive_special_case,High data-rate profile (32.3 TB/hr est.); reserve for shots where motion or occlusion risk justifies it.
Lean,Lean 16-Camera Preflight,6K 16:9 60fps HQ,16,6144,3456,60,HQ,560,32.256,expensive_special_case,High data-rate profile (32.3 TB/hr est.); reserve for shots where motion or occlusion risk justifies it.
